project_id,simulation_id,npv,rnd
p_761841,144,31,12
p_761841,76,68,9
p_761841,85,48,10
p_761841,86,51,10
p_761841,2,75,10
p_761841,3,63,9
p_761841,13,36,9
p_761841,40,70,13
p_761841,18,33,12
p_761841,20,31,13
p_761841,22,33,7
p_761841,23,73,14
p_761841,24,43,13
p_761841,25,64,12
p_761841,30,74,11
p_761841,73,38,12
p_761841,34,51,10
p_761841,17,38,8
p_761841,42,48,12
p_761841,44,44,9
p_761841,49,39,12
p_761841,59,77,12
p_761841,64,70,11
p_761841,68,62,14
p_761841,71,45,7
p_761841,33,37,10
p_761841,120,55,15
p_761841,88,47,16
p_761841,90,33,8
p_761841,98,30,13
p_761841,101,31,13
p_761841,102,44,13
p_761841,103,63,9
p_761841,15,41,10
p_761841,113,73,13
p_761841,119,79,7
p_761841,121,56,10
p_761841,124,37,8
p_761841,129,47,9
p_761841,136,68,14
p_761841,137,36,8
p_761841,143,60,10
p_761841,111,56,16
p_761841,16,37,8
p_761841,187,29,12
p_761841,157,30,12
p_761841,158,72,11
p_761841,159,40,13
p_761841,160,43,11
p_761841,161,52,12
p_761841,162,60,9
p_761841,238,43,9
p_761841,181,44,7
p_761841,184,66,10
p_761841,155,43,12
p_761841,209,70,13
p_761841,213,27,9
p_761841,217,36,13
p_761841,219,42,13
p_761841,228,47,12
p_761841,236,42,11
p_761841,164,67,11
p_761841,397,34,8
p_761841,399,54,9
p_761841,266,80,15
p_761841,247,52,15
p_761841,249,47,9
p_761841,250,54,16
p_761841,251,31,9
p_761841,253,41,7
p_761841,254,38,8
p_761841,466,81,14
p_761841,261,50,12
p_761841,264,55,7
p_761841,400,61,9
p_761841,267,72,10
p_761841,274,64,11
p_761841,279,47,9
p_761841,280,36,11
p_761841,287,54,11
p_761841,301,58,13
p_761841,259,58,13
p_761841,145,60,11
p_761841,154,47,12
p_761841,355,75,12
p_761841,327,49,10
p_761841,330,48,8
p_761841,332,53,9
p_761841,342,63,10
p_761841,345,67,12
p_761841,346,35,12
p_761841,394,44,14
p_761841,352,48,10
p_761841,354,32,10
p_761841,325,42,8
p_761841,359,26,11
p_761841,364,44,9
p_761841,369,48,15
p_761841,378,72,15
p_761841,388,43,13
p_761841,390,31,11
p_761841,349,51,10
p_761841,437,53,8
p_761841,403,83,15
p_761841,406,50,11
p_761841,407,60,11
p_761841,409,40,12
p_761841,415,69,13
p_761841,425,62,13
p_761841,306,69,13
p_761841,431,39,8
p_761841,434,67,11
p_761841,246,63,13
p_761841,441,64,10
p_761841,443,75,10
p_761841,449,55,15
p_761841,451,46,10
p_761841,456,62,13
p_761841,464,70,10
p_761841,428,40,11
p_761841,314,66,10
p_761841,323,53,10
p_761841,504,56,8
p_761841,471,38,9
p_761841,474,60,9
p_761841,475,72,13
p_761841,479,55,8
p_761841,484,26,10
p_761841,493,46,14
p_761841,525,64,9
p_761841,502,46,14
p_761841,503,65,10
p_761841,470,63,7
p_761841,508,26,10
p_761841,513,48,11
p_761841,517,43,10
p_761841,518,53,12
p_761841,519,61,10
p_761841,522,73,8
p_761841,496,67,11
p_761841,708,52,14
p_761841,709,32,11
p_761841,597,46,12
p_761841,546,57,8
p_761841,548,54,7
p_761841,553,27,15
p_761841,571,40,14
p_761841,578,70,15
p_761841,580,82,12
p_761841,590,37,11
p_761841,596,46,12
p_761841,711,56,11
p_761841,598,41,10
p_761841,599,54,10
p_761841,604,34,10
p_761841,605,54,13
p_761841,607,66,10
p_761841,610,38,15
p_761841,581,37,12
p_761841,468,34,14
p_761841,469,55,8
p_761841,665,35,15
p_761841,624,36,13
p_761841,629,59,10
p_761841,638,57,9
p_761841,642,52,8
p_761841,643,67,8
p_761841,647,48,10
p_761841,654,27,11
p_761841,702,76,11
p_761841,662,77,15
p_761841,623,54,12
p_761841,667,58,14
p_761841,673,70,8
p_761841,687,46,12
p_761841,691,60,8
p_761841,692,35,15
p_761841,693,53,13
p_761841,694,37,12
p_761841,655,66,10
p_761841,241,32,10
p_761841,754,44,13
p_761841,714,27,15
p_761841,717,41,11
p_761841,722,43,12
p_761841,724,69,11
p_761841,725,70,10
p_761841,738,81,9
p_761841,613,65,14
p_761841,743,59,13
p_761841,747,52,9
p_761841,759,48,11
p_761841,760,78,10
p_761841,761,43,8
p_761841,764,59,12
p_761841,766,44,11
p_761841,769,42,11
p_761841,742,42,14
p_761841,615,46,13
p_761841,815,62,11
p_761841,793,67,10
p_761841,795,54,11
p_761841,797,64,9
p_761841,798,45,9
p_761841,803,62,11
p_761841,804,22,11
p_761841,837,64,13
p_761841,808,51,10
p_761841,812,36,8
p_761841,789,58,10
p_761841,816,39,11
p_761841,823,70,13
p_761841,830,46,8
p_761841,833,67,12
p_761841,834,45,14
p_761841,836,34,16
p_761841,806,36,15
p_761841,976,86,11
p_761841,977,72,8
p_761841,877,58,11
p_761841,846,64,15
p_761841,849,64,15
p_761841,850,58,10
p_761841,854,26,8
p_761841,856,45,15
p_761841,861,50,13
p_761841,870,69,8
p_761841,871,43,11
p_761841,979,70,9
p_761841,880,77,12
p_761841,886,59,12
p_761841,901,71,12
p_761841,910,66,12
p_761841,911,69,16
p_761841,912,21,13
p_761841,867,40,9
p_761841,778,62,10
p_761841,779,35,14
p_761841,951,82,14
p_761841,919,73,15
p_761841,924,74,12
p_761841,925,33,14
p_761841,928,42,9
p_761841,933,55,12
p_761841,937,31,12
p_761841,939,52,13
p_761841,974,29,8
p_761841,950,76,15
p_761841,918,40,10
p_761841,953,70,10
p_761841,955,62,8
p_761841,956,52,10
p_761841,959,63,10
p_761841,961,52,8
p_761841,969,24,9
p_761841,970,54,12
p_761841,949,35,13
p_761841,983,37,9
p_761841,992,65,12
p_761841,914,62,10
p_761841,843,28,13
p_761841,917,40,8
p_761841,776,48,9
p_761841,840,38,12
p_761841,841,31,15
p_761841,541,28,9
p_761841,527,57,10
p_761841,453,62,12
p_761841,235,28,7
p_761841,7,46,13
p_761841,0,79,11
p_761841,1,50,16
p_761841,4,37,8
p_761841,21,53,14
p_761841,6,45,12
p_761841,8,69,10
p_761841,9,79,10
p_761841,10,43,8
p_761841,11,41,9
p_761841,12,50,11
p_761841,14,41,11
p_761841,19,61,8
p_761841,5,31,8
p_761841,78,54,9
p_761841,39,47,12
p_761841,27,53,11
p_761841,28,70,7
p_761841,29,78,11
p_761841,31,49,11
p_761841,32,49,8
p_761841,35,54,9
p_761841,36,33,7
p_761841,316,60,13
p_761841,38,51,13
p_761841,79,58,13
p_761841,41,54,13
p_761841,43,48,8
p_761841,45,31,13
p_761841,46,50,14
p_761841,47,79,10
p_761841,48,63,9
p_761841,50,45,9
p_761841,37,34,10
p_761841,65,77,8
p_761841,54,86,10
p_761841,55,75,8
p_761841,56,69,9
p_761841,57,73,12
p_761841,58,57,10
p_761841,60,35,8
p_761841,61,27,14
p_761841,77,36,9
p_761841,63,41,12
p_761841,53,69,10
p_761841,66,38,12
p_761841,67,42,12
p_761841,69,47,8
p_761841,70,46,9
p_761841,72,67,7
p_761841,74,51,9
p_761841,75,45,13
p_761841,62,53,16
p_761841,93,36,12
p_761841,80,41,10
p_761841,81,64,13
p_761841,82,51,9
p_761841,83,36,15
p_761841,84,62,12
p_761841,87,43,15
p_761841,89,48,12
p_761841,51,54,8
p_761841,92,53,9
p_761841,237,63,13
p_761841,94,46,9
p_761841,95,40,10
p_761841,96,78,9
p_761841,97,47,9
p_761841,99,44,9
p_761841,100,50,10
p_761841,104,38,8
p_761841,91,43,8
p_761841,52,63,10
p_761841,118,66,12
p_761841,107,65,8
p_761841,108,62,13
p_761841,109,68,14
p_761841,110,69,10
p_761841,112,56,8
p_761841,114,28,14
p_761841,115,63,11
p_761841,116,62,9
p_761841,132,31,12
p_761841,106,57,13
p_761841,122,46,13
p_761841,123,83,8
p_761841,125,76,13
p_761841,126,41,13
p_761841,127,58,9
p_761841,128,28,7
p_761841,130,82,11
p_761841,131,56,12
p_761841,117,59,7
p_761841,148,52,11
p_761841,134,39,13
p_761841,135,43,8
p_761841,138,41,16
p_761841,139,63,8
p_761841,140,35,14
p_761841,141,69,8
p_761841,142,69,9
p_761841,146,52,14
p_761841,210,69,15
p_761841,190,44,9
p_761841,149,49,8
p_761841,150,38,11
p_761841,151,61,9
p_761841,152,54,13
p_761841,153,45,11
p_761841,156,36,9
p_761841,163,82,11
p_761841,165,34,9
p_761841,147,50,9
p_761841,177,57,12
p_761841,168,38,8
p_761841,169,65,8
p_761841,170,47,10
p_761841,171,42,10
p_761841,172,84,13
p_761841,173,50,8
p_761841,174,51,10
p_761841,175,39,9
p_761841,189,48,10
p_761841,167,59,9
p_761841,178,62,13
p_761841,179,36,15
p_761841,180,66,12
p_761841,182,43,8
p_761841,183,47,12
p_761841,185,34,9
p_761841,186,66,7
p_761841,188,40,10
p_761841,176,71,9
p_761841,200,69,13
p_761841,191,38,13
p_761841,192,49,11
p_761841,193,65,10
p_761841,194,33,10
p_761841,195,68,12
p_761841,196,34,14
p_761841,197,27,11
p_761841,198,43,13
p_761841,166,65,10
p_761841,133,33,7
p_761841,201,34,12
p_761841,202,40,8
p_761841,203,49,13
p_761841,204,53,11
p_761841,205,62,9
p_761841,206,35,15
p_761841,207,50,10
p_761841,208,78,16
p_761841,199,55,12
p_761841,225,54,13
p_761841,214,49,10
p_761841,215,64,8
p_761841,216,44,13
p_761841,218,61,10
p_761841,220,69,14
p_761841,221,48,11
p_761841,222,40,10
p_761841,234,29,9
p_761841,224,46,8
p_761841,212,65,7
p_761841,226,60,9
p_761841,227,41,15
p_761841,229,38,12
p_761841,230,64,12
p_761841,231,40,11
p_761841,232,71,16
p_761841,233,46,15
p_761841,223,37,14
p_761841,294,51,11
p_761841,256,39,14
p_761841,239,48,16
p_761841,240,57,12
p_761841,242,32,13
p_761841,243,68,9
p_761841,244,47,8
p_761841,245,64,10
p_761841,248,58,14
p_761841,105,48,10
p_761841,255,45,8
p_761841,295,50,12
p_761841,257,31,10
p_761841,258,52,8
p_761841,260,62,8
p_761841,262,43,9
p_761841,263,36,13
p_761841,265,52,9
p_761841,268,63,13
p_761841,252,20,9
p_761841,211,55,12
p_761841,283,45,8
p_761841,271,27,11
p_761841,272,43,9
p_761841,273,83,13
p_761841,275,84,10
p_761841,276,74,14
p_761841,277,44,12
p_761841,278,44,11
p_761841,281,67,10
p_761841,293,47,12
p_761841,270,52,13
p_761841,284,43,12
p_761841,285,49,9
p_761841,286,41,9
p_761841,288,37,13
p_761841,289,63,8
p_761841,290,49,8
p_761841,291,43,9
p_761841,292,68,13
p_761841,282,54,12
p_761841,307,39,9
p_761841,296,50,8
p_761841,297,29,13
p_761841,298,38,11
p_761841,299,52,8
p_761841,300,60,10
p_761841,302,74,9
p_761841,303,44,16
p_761841,269,70,9
p_761841,305,30,8
p_761841,26,63,7
p_761841,308,80,8
p_761841,309,36,13
p_761841,310,49,14
p_761841,311,75,7
p_761841,312,48,13
p_761841,313,70,10
p_761841,315,58,10
p_761841,304,74,12
p_761841,333,57,13
p_761841,319,64,12
p_761841,320,67,9
p_761841,321,53,8
p_761841,322,55,9
p_761841,324,52,7
p_761841,326,51,8
p_761841,328,45,9
p_761841,341,49,12
p_761841,331,45,11
p_761841,318,48,9
p_761841,334,36,11
p_761841,335,51,9
p_761841,336,50,8
p_761841,337,49,10
p_761841,338,27,10
p_761841,339,32,12
p_761841,340,44,12
p_761841,329,51,11
p_761841,396,44,13
p_761841,361,79,11
p_761841,347,54,12
p_761841,348,43,10
p_761841,350,51,7
p_761841,351,40,13
p_761841,353,58,9
p_761841,356,29,11
p_761841,357,51,11
p_761841,423,58,13
p_761841,360,35,13
p_761841,398,50,11
p_761841,362,73,8
p_761841,363,46,13
p_761841,365,41,11
p_761841,366,55,8
p_761841,367,33,10
p_761841,368,31,13
p_761841,370,61,12
p_761841,358,41,13
p_761841,317,27,11
p_761841,384,52,11
p_761841,374,50,9
p_761841,375,77,10
p_761841,376,58,12
p_761841,377,64,13
p_761841,379,51,12
p_761841,380,45,13
p_761841,381,56,9
p_761841,395,61,10
p_761841,383,56,10
p_761841,373,35,9
p_761841,385,59,8
p_761841,386,62,8
p_761841,387,61,9
p_761841,389,49,8
p_761841,391,68,16
p_761841,392,51,8
p_761841,393,26,9
p_761841,382,65,13
p_761841,666,32,13
p_761841,414,41,10
p_761841,401,44,11
p_761841,402,63,10
p_761841,404,58,9
p_761841,405,73,16
p_761841,408,75,12
p_761841,410,34,11
p_761841,411,35,13
p_761841,371,47,13
p_761841,413,58,9
p_761841,344,50,10
p_761841,416,73,10
p_761841,417,27,10
p_761841,418,67,12
p_761841,419,46,13
p_761841,420,54,14
p_761841,421,48,14
p_761841,422,41,10
p_761841,412,72,9
p_761841,372,68,10
p_761841,440,64,11
p_761841,427,34,14
p_761841,429,74,9
p_761841,430,70,7
p_761841,432,42,11
p_761841,433,41,9
p_761841,435,76,10
p_761841,436,45,10
p_761841,452,44,13
p_761841,439,51,9
p_761841,426,78,12
p_761841,442,47,11
p_761841,444,64,11
p_761841,445,63,16
p_761841,446,43,12
p_761841,447,29,12
p_761841,448,51,8
p_761841,450,48,12
p_761841,438,61,14
p_761841,509,61,13
p_761841,465,67,10
p_761841,454,30,13
p_761841,455,26,11
p_761841,457,50,8
p_761841,458,21,11
p_761841,459,54,14
p_761841,460,56,11
p_761841,461,48,7
p_761841,463,59,15
p_761841,510,56,12
p_761841,467,53,9
p_761841,472,45,15
p_761841,473,80,10
p_761841,476,57,14
p_761841,477,74,12
p_761841,478,55,10
p_761841,480,53,9
p_761841,462,57,13
p_761841,424,73,14
p_761841,495,82,11
p_761841,485,41,8
p_761841,486,35,7
p_761841,487,43,8
p_761841,488,46,11
p_761841,489,54,9
p_761841,490,56,8
p_761841,491,47,9
p_761841,507,79,10
p_761841,494,32,7
p_761841,483,34,9
p_761841,497,58,9
p_761841,498,44,12
p_761841,499,73,16
p_761841,500,77,9
p_761841,501,65,7
p_761841,505,40,11
p_761841,506,40,12
p_761841,492,67,13
p_761841,343,65,12
p_761841,526,38,12
p_761841,511,63,13
p_761841,512,45,10
p_761841,514,73,12
p_761841,515,35,11
p_761841,516,42,8
p_761841,520,33,9
p_761841,521,48,13
p_761841,481,69,7
p_761841,524,31,11
p_761841,668,35,9
p_761841,528,39,11
p_761841,529,42,9
p_761841,530,52,13
p_761841,531,34,13
p_761841,532,42,11
p_761841,533,39,11
p_761841,534,79,14
p_761841,523,59,14
p_761841,482,62,13
p_761841,549,76,12
p_761841,537,33,11
p_761841,538,52,14
p_761841,539,29,12
p_761841,540,80,13
p_761841,542,60,12
p_761841,543,77,16
p_761841,544,77,13
p_761841,545,34,7
p_761841,559,46,12
p_761841,536,67,11
p_761841,550,44,13
p_761841,551,72,11
p_761841,552,43,12
p_761841,554,36,10
p_761841,555,57,13
p_761841,556,44,13
p_761841,557,36,11
p_761841,558,71,7
p_761841,547,73,7
p_761841,570,79,14
p_761841,561,44,8
p_761841,562,59,9
p_761841,563,66,14
p_761841,564,43,10
p_761841,565,62,15
